EntityId,CodPartidaAbierta,FE,FV,FechaObs,PlazoFactura,VidaFactura,DaysToDue,%plazoConsumido,FEC,FEC desde FObs,Rango FEC,LGD,PdRIIM,RIIM10,PdRIIM Norm,Sector,TipoSegmento,Importe,Log Importe,Impacto,Importe Norm,RIIM10 Norm,Score FEC,Score,Escala
105694648,101859090000381723,2025-09-30,2025-11-10,2025-11-10,41,41,0,"100,00%",1,1,0-7,"0,0005","0,0561",5,"0,1434",INMOBILIARIAS,1,"6038,62","3,7809",1,"0,5582","0,5556",1,"70,31",MUY ALTA
2130724,101859090000381250,2025-09-30,2025-11-10,2025-11-10,41,41,0,"100,00%",1,1,0-7,"0,0007","0,0453",6,"0,1139",COMERCIO,1,"229,14","2,3601",0,"0,2730","0,4444",1,"56,95",MUY ALTA
2440680,101859090000382418,2025-09-30,2025-11-10,2025-11-10,41,41,0,"100,00%",2,2,0-7,"0,0001","0,0195",8,"0,0435",OTRAS_ACTIV_EMPR,1,"360568,07","5,5570",1,"0,9148","0,2222",1,"71,44",MUY ALTA
3947343,101859090000384634,2025-10-16,2025-12-01,2025-11-10,46,25,21,"54,35%",-1,20,-7-0,"0,0009","0,0262",7,"0,0618",COMERCIO,1,"644391,93","5,8092",1,"0,9654","0,3333","0,8","67,66",MUY ALTA
3947343,101859090000401019,2025-10-31,2025-12-01,2025-11-10,31,10,21,"32,26%",-1,20,-7-0,"0,0008","0,0262",7,"0,0618",COMERCIO,1,"626196,66","5,7967",1,"0,9629","0,3333","0,8","65,37",MUY ALTA
1999959,101859090000382188,2025-09-30,2025-11-10,2025-11-10,41,41,0,"100,00%",3,3,0-7,"0,0007","0,0275",7,"0,0653",COMERCIO,1,"9958,95","3,9982",1,"0,6019","0,3333",1,"64,46",MUY ALTA
5116544,101859090000382433,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",0,20,0,"0,0005","0,0205",8,"0,0462",COMERCIO,1,"117376,66","5,0696",1,"0,8169","0,2222","0,95","63,68",MUY ALTA
2440680,101859090000383250,2025-09-30,2025-11-10,2025-11-10,41,41,0,"100,00%",3,3,0-7,"0,0001","0,0195",8,"0,0435",OTRAS_ACTIV_EMPR,1,"24620,84","4,3913",1,"0,6808","0,2222",1,"63,48",MUY ALTA
1026646,101859090000383244,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",-4,16,-7-0,"0,0004","0,021537153",8,"0,0490","Veículos a motor, motociclos e outros veículos e transporte",1,"329755,33","5,5182",1,"0,9070","0,2222","0,8","63,29",MUY ALTA
2735461,101859090000382292,2025-09-30,2025-11-25,2025-11-10,56,41,15,"73,21%",2,17,0-7,"0,0010","0,0257",7,"0,0604",COMERCIO,1,"14294,49","4,1552",1,"0,6334","0,3333",1,"62,86",MUY ALTA
4567010,101859090000404634,2025-10-15,2025-11-10,2025-11-10,26,26,0,"100,00%",6,6,0-7,"0,0031","0,02",8,"0,0449",COMERCIO,1,"18953,2","4,2777",1,"0,6580","0,2222",1,"62,70",MUY ALTA
3308039,101859090000382750,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",-1,19,-7-0,"0,0004","0,0165",8,"0,0353",COMERCIO,1,"239218,22","5,3788",1,"0,8790","0,2222","0,8","62,34",MUY ALTA
4136226,101859090000404666,2025-10-27,2025-12-29,2025-11-10,63,14,49,"22,22%",-3,46,-7-0,"0,0004","0,0211",8,"0,0479",TRANSPORTE,1,957978,"5,9814",1,"1,0000","0,2222","0,8","61,96",MUY ALTA
5226310,101859090000381621,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",1,21,0-7,"0,0045","0,0273",7,"0,0648",COMERCIO,1,"12852,04","4,1090",1,"0,6241","0,3333",1,"61,94",MUY ALTA
2299571,101859090000382055,2025-09-30,2025-11-20,2025-11-10,51,41,10,"80,39%",0,10,0,"0,0001","0,0251",7,"0,0588",INDUSTRIA,1,"11008,25","4,0417",1,"0,6106","0,3333","0,95","61,65",MUY ALTA
4430621,101859090000381684,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",0,20,0,"0,0006","0,0161",8,"0,0342",COMERCIO,1,"58586,76","4,7678",1,"0,7564","0,2222","0,95","61,62",MUY ALTA
4620668,101859090000381256,2025-09-30,2025-11-10,2025-11-10,41,41,0,"100,00%",7,7,0-7,"0,0044","0,0262",7,"0,0618",OTRAS_ACTIV_EMPR,1,"3604,2","3,5568",1,"0,5132","0,3333",1,"61,45",MUY ALTA
4587651,101859090000382492,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",0,20,0,"0,0002","0,0248",7,"0,0580",COMERCIO,1,"15201,75","4,1819",1,"0,6387","0,3333","0,95","61,29",MUY ALTA
2754590,101859090000382911,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",2,22,0-7,"0,0012","0,029",7,"0,0694",COMERCIO,1,"9692,31","3,9864",1,"0,5995","0,3333",1,"61,10",MUY ALTA
5083350,101859090000378953,2025-08-31,2025-11-25,2025-11-10,86,71,15,"82,56%",0,15,0,"0,0002","0,0237",8,"0,0550",INDUSTRIA,1,"28233,46","4,4508",1,"0,6927","0,2222","0,95","60,99",MUY ALTA
3948613,101859090000378890,2025-08-31,2025-11-10,2025-11-10,71,71,0,"100,00%",1,1,0-7,"0,0001","0,0184",8,"0,0405",COMERCIO,1,"10428,39","4,0182",1,"0,6059","0,2222",1,"60,93",MUY ALTA
3241397,101859090000379058,2025-08-31,2025-11-25,2025-11-10,86,71,15,"82,56%",-2,13,-7-0,"0,0019","0,0221",8,"0,0506",INDUSTRIA,1,"85814,17","4,9336",1,"0,7896","0,2222","0,8","60,84",MUY ALTA
111096563,101859090000394260,2025-10-31,2025-11-30,2025-11-10,30,10,20,"33,33%",-3,17,-7-0,"0,0002","0,0268",7,"0,0634",COMERCIO,1,"128496,18","5,1089",1,"0,8248","0,3333","0,8","60,78",MUY ALTA
2769500,101859090000381350,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",-2,18,-7-0,"0,0012","0,0254",7,"0,0596",COMERCIO,1,"40182,15","4,6040",1,"0,7235","0,3333","0,8","60,72",MUY ALTA
2121980,101859090000378888,2025-08-31,2025-11-25,2025-11-10,86,71,15,"82,56%",0,15,0,"0,0004","0,0267",7,"0,0631",TRANSPORTE,1,"6637,67","3,8220",1,"0,5665","0,3333","0,95","60,37",MUY ALTA
4618626,101859090000344668,2025-10-15,2025-11-30,2025-11-10,46,26,20,"56,52%",-3,17,-7-0,"0,0004","0,0252",7,"0,0590",TRANSPORTE,1,"50752,79","4,7055",1,"0,7438","0,3333","0,8","60,34",MUY ALTA
4762551,101859090000384193,2025-10-13,2025-11-13,2025-11-10,31,28,3,"90,32%",2,5,0-7,"0,0013","0,0256",7,"0,0601",COMERCIO,1,"3321,14","3,5213",1,"0,5061","0,3333",1,"60,24",MUY ALTA
1677864,101859090000395261,2025-10-31,2025-11-30,2025-11-10,30,10,20,"33,33%",-4,16,-7-0,"0,0004","0,0244",7,"0,0569",COMERCIO,1,"107115,9","5,0299",1,"0,8090","0,3333","0,8","60,24",MUY ALTA
2740538,101859090000404664,2025-10-27,2025-12-01,2025-11-10,35,14,21,"40,00%",-2,19,-7-0,"0,0009","0,0268",7,"0,0634",COMERCIO,1,"80630,88","4,9065",1,"0,7842","0,3333","0,8","60,06",MUY ALTA
2248458,101859090000382771,2025-09-30,2025-11-25,2025-11-10,56,41,15,"73,21%",-3,12,-7-0,"0,0001","0,028",7,"0,0667",TRANSPORTE,1,"26183,28","4,4180",1,"0,6861","0,3333","0,8","60,05",MUY ALTA
1236990,101859090000382520,2025-09-30,2025-12-30,2025-11-10,91,41,50,"45,05%",-7,43,-7-0,"0,0077","0,029743295",7,"0,0715","Produtos minerais, produtos químicos, petróleo, plásticos, produ",1,"66238,91","4,8211",1,"0,7671","0,3333","0,8","59,99",MUY ALTA
2424347,101859090000378777,2025-08-31,2025-12-10,2025-11-10,101,71,30,"70,30%",-3,27,-7-0,"0,0065","0,0161",8,"0,0342",INDUSTRIA,1,"97175,34","4,9876",1,"0,8005","0,2222","0,8","59,98",MUY ALTA
3661454,101859090000381316,2025-09-30,2025-11-25,2025-11-10,56,41,15,"73,21%",-3,12,-7-0,"0,0001","0,0245",7,"0,0571",COMERCIO,1,"23928,71","4,3789",1,"0,6783","0,3333","0,8","59,78",MUY ALTA
4293409,101859090000382676,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",-2,18,-7-0,"0,0002","0,0067",9,"0,0085",COMERCIO,1,"337130,42","5,5278",1,"0,9089","0,1111","0,8","59,69",MUY ALTA
2701975,101859090000404620,2025-10-10,2025-11-24,2025-11-10,45,31,14,"68,89%",3,17,0-7,"0,0150","0,0275",7,"0,0653",INDUSTRIA,1,"5673,56","3,7539",1,"0,5528","0,3333",1,"59,68",MUY ALTA
2701975,101859090000404568,2025-08-20,2025-11-24,2025-11-10,96,82,14,"85,42%",6,20,0-7,"0,0160","0,0275",7,"0,0653",INDUSTRIA,1,"3110,44","3,4928",0,"0,5004","0,3333",1,"59,55",MUY ALTA
2440680,101859090000396588,2025-10-31,2025-12-10,2025-11-10,40,10,30,"25,00%",-3,27,-7-0,"0,0001","0,0195",8,"0,0435",OTRAS_ACTIV_EMPR,1,"359360,46","5,5555",1,"0,9145","0,2222","0,8","59,33",MUY ALTA
2835031,101859090000378106,2025-07-31,2025-11-20,2025-11-10,112,102,10,"91,07%",2,12,0-7,"0,0007","0,0278",7,"0,0661",INDUSTRIA,1,"2357,19","3,3724",0,"0,4762","0,3333",1,"59,30",MUY ALTA
103659202,101859090000391377,2025-10-31,2025-11-30,2025-11-10,30,10,20,"33,33%",0,20,0,"0,0002","0,0298",7,"0,0716",TRANSPORTE,1,"23526,02","4,3715",1,"0,6768","0,3333","0,95","59,19",MUY ALTA
5152105,101859090000388054,2025-10-31,2025-11-30,2025-11-10,30,10,20,"33,33%",-2,18,-7-0,"0,0002","0,0295",7,"0,0708",COMERCIO,1,"74757,47","4,8737",1,"0,7776","0,3333","0,8","59,17",MUY ALTA
107664295,101859090000391609,2025-10-31,2025-11-30,2025-11-10,30,10,20,"33,33%",-3,17,-7-0,"0,0002","0,0274",7,"0,0651",,,"74482,69","4,8721",1,"0,7773","0,3333","0,8","59,16",MUY ALTA
3224658,101859090000393820,2025-10-31,2025-11-30,2025-11-10,30,10,20,"33,33%",-2,18,-7-0,"0,0015","0,0151",8,"0,0315",TRANSPORTE,1,"251865,26","5,4012",1,"0,8835","0,2222","0,8","59,11",MUY ALTA
3558265,101859090000344656,2025-10-10,2025-11-30,2025-11-10,51,31,20,"60,78%",-2,18,-7-0,"0,0002","0,0185",8,"0,0408",COMERCIO,1,"96898,24","4,9863",1,"0,8002","0,2222","0,8","59,02",MUY ALTA
2440680,101859090000347403,2025-09-30,2025-11-10,2025-11-10,41,41,0,"100,00%",3,3,0-7,"0,0002","0,0195",8,"0,0435",OTRAS_ACTIV_EMPR,1,"5048,8","3,7032",1,"0,5426","0,2222",1,"58,78",MUY ALTA
106375063,101859090000383028,2025-09-30,2025-11-25,2025-11-10,56,41,15,"73,21%",-2,13,-7-0,"0,0002","0,028154077",7,"0,0671",,,"16396,91","4,2148",1,"0,6453","0,3333","0,8","58,66",MUY ALTA
4243225,101859090000395345,2025-10-31,2025-11-30,2025-11-10,30,10,20,"33,33%",1,21,0-7,"0,0009","0,0258",7,"0,0607",TRANSPORTE,1,"13156,73","4,1191",1,"0,6261","0,3333",1,"58,62",MUY ALTA
105224618,101859090000400725,2025-10-31,2025-11-30,2025-11-10,30,10,20,"33,33%",-2,18,-7-0,"0,0002","0,0275",7,"0,0653",COMERCIO,1,"61984,64","4,7923",1,"0,7613","0,3333","0,8","58,62",MUY ALTA
9200889,101859090000387208,2025-10-31,2025-11-30,2025-11-10,30,10,20,"33,33%",-3,17,-7-0,"0,0003","0,027",7,"0,0640",COMERCIO,1,"60856,1","4,7843",1,"0,7597","0,3333","0,8","58,56",MUY ALTA
3731467,101859090000404627,2025-10-14,2025-11-10,2025-11-10,27,27,0,"100,00%",3,3,0-7,"0,0010","0,0192",8,"0,0427",INDUSTRIA,1,"4594,37","3,6622",1,"0,5344","0,2222",1,"58,50",MUY ALTA
2474259,101859090000378957,2025-08-31,2025-11-25,2025-11-10,86,71,15,"82,56%",0,15,0,"0,0002","0,0214",8,"0,0487",COMERCIO,1,"12105,57","4,0830",1,"0,6189","0,2222","0,95","58,48",MUY ALTA
2770830,101859090000382838,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",-1,19,-7-0,"0,0001","0,0253",7,"0,0593",COMERCIO,1,"18470,96","4,2665",1,"0,6557","0,3333","0,8","58,42",MUY ALTA
103177396,101859090000382263,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",-2,18,-7-0,"0,0002","0,0296",7,"0,0711",TRANSPORTE,1,"18351,17","4,2637",1,"0,6551","0,3333","0,8","58,40",MUY ALTA
3286625,101859090000382507,2025-09-30,2025-11-20,2025-11-10,51,41,10,"80,39%",-1,9,-7-0,"0,0001","0,0233",8,"0,0539",INDUSTRIA,1,"40250,47","4,6048",1,"0,7236","0,2222","0,8","58,38",MUY ALTA
3346101,101859090000378899,2025-08-31,2025-11-25,2025-11-10,86,71,15,"82,56%",-2,13,-7-0,"0,0004","0,0257",7,"0,0604",TRANSPORTE,1,"10773,1","4,0323",1,"0,6087","0,3333","0,8","58,35",MUY ALTA
3990610,101859090000382104,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",-1,19,-7-0,"0,0004","0,0297",7,"0,0713",COMERCIO,1,"18043,3","4,2563",1,"0,6537","0,3333","0,8","58,35",MUY ALTA
4828062,101859090000396360,2025-10-31,2025-11-30,2025-11-10,30,10,20,"33,33%",0,20,0,"0,0001","0,0245",7,"0,0571",COMERCIO,1,"17335,21","4,2389",1,"0,6502","0,3333","0,95","58,29",MUY ALTA
105686650,101859090000381557,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",-2,18,-7-0,"0,0002","0,0241",8,"0,0560",COMERCIO,1,"60035,54","4,7784",1,"0,7585","0,2222","0,8","58,24",MUY ALTA
3706022,101859090000388666,2025-10-31,2025-11-30,2025-11-10,30,10,20,"33,33%",2,22,0-7,"0,0001","0,0128",9,"0,0252",INDUSTRIA,1,"136951,66","5,1366",1,"0,8304","0,1111",1,"58,23",MUY ALTA
111096563,101859090000394266,2025-10-31,2025-11-30,2025-11-10,30,10,20,"33,33%",-3,17,-7-0,"0,0003","0,0268",7,"0,0634",COMERCIO,1,"54322,57","4,7350",1,"0,7498","0,3333","0,8","58,23",MUY ALTA
4762551,101859090000384718,2025-10-20,2025-11-20,2025-11-10,31,21,10,"67,74%",2,12,0-7,"0,0011","0,0256",7,"0,0601",COMERCIO,1,"3600,25","3,5563",1,"0,5131","0,3333",1,"58,22",MUY ALTA
2625147,101859090000382471,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",-2,18,-7-0,"0,0001","0,0234",8,"0,0541",OTRAS_ACTIV_EMPR,1,"59191,13","4,7723",1,"0,7573","0,2222","0,8","58,20",MUY ALTA
4066392,101859090000345031,2025-11-06,2025-11-30,2025-11-10,24,4,20,"16,67%",-1,19,-7-0,"0,0002","0,0227",8,"0,0522",POCA_COB,1,"307340,69","5,4876",1,"0,9009","0,2222","0,8","58,03",MUY ALTA
2635437,101859090000382588,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",-2,18,-7-0,"0,0004","0,0152",8,"0,0317",COMERCIO,1,"55318,78","4,7429",1,"0,7514","0,2222","0,8","58,00",MUY ALTA
4732355,101859090000398455,2025-10-31,2025-11-30,2025-11-10,30,10,20,"33,33%",2,22,0-7,"0,0004","0,0268",7,"0,0634",COMERCIO,1,"10523,73","4,0222",1,"0,6067","0,3333",1,"57,96",MUY ALTA
2589173,101859090000379804,2025-09-10,2025-11-10,2025-11-10,61,61,0,"100,00%",2,2,0-7,"0,0007","0,0511",5,"0,1298",INDUSTRIA,1,"1415,7","3,1510",0,"0,4318","0,5556",1,"66,01",MUY ALTA
3099302,101859090000381433,2025-09-30,2025-11-10,2025-11-10,41,41,0,"100,00%",2,2,0-7,"0,0007","0,0511",5,"0,1298",EXCLUIDA,3,"1170,33","3,0683",0,"0,4152","0,5556",1,"65,45",MUY ALTA
3099302,101859090000381432,2025-09-30,2025-11-10,2025-11-10,41,41,0,"100,00%",2,2,0-7,"0,0008","0,0511",5,"0,1298",EXCLUIDA,3,"205,02","2,3118",0,"0,2633","0,5556",1,"60,28",MUY ALTA
3099302,101859090000380671,2025-09-30,2025-11-10,2025-11-10,41,41,0,"100,00%",2,2,0-7,"0,0008","0,0511",5,"0,1298",EXCLUIDA,3,"122,16","2,0869",0,"0,2181","0,5556",1,"58,75",MUY ALTA
103528626,101859090000382935,2025-09-30,2025-11-25,2025-11-10,56,41,15,"73,21%",-2,13,-7-0,"0,0001","0,0299",7,"0,0719",TRANSPORTE,1,"12391,84","4,0931",1,"0,6209","0,3333","0,8","57,83",MUY ALTA
101773420,101859090000390785,2025-10-31,2025-11-30,2025-11-10,30,10,20,"33,33%",5,25,0-7,"0,0051","0,1521",1,"0,4056",COMERCIO,2,"91565,46","4,9617",1,"0,7953","1,0000",1,"86,37",MUY ALTA
120515913,101859090000392886,2025-10-31,2025-11-30,2025-11-10,30,10,20,"33,33%",6,26,0-7,"0,0062","0,1552",1,"0,4140",,2,"71282,85","4,8530",1,"0,7735","1,0000",1,"85,63",MUY ALTA
112579402,101859090000404630,2025-10-15,2025-11-10,2025-11-10,26,26,0,"100,00%",3,3,0-7,"0,0008","0,0666",4,"0,1721",TRANSPORTE,2,5000,"3,6990",1,"0,5418","0,6667",1,"73,42",MUY ALTA
3040273,101859090000384163,2025-10-10,2025-11-10,2025-11-10,31,31,0,"100,00%",3,3,0-7,"0,0007","0,0658",4,"0,1699",COMERCIO,2,"21259,7","4,3276",1,"0,6680","0,6667",1,"77,71",MUY ALTA
5093199,101859090000404629,2025-10-15,2025-11-08,2025-11-10,24,26,-2,"108,33%",5,3,0-7,"0,0039","0,0473",6,"0,1194",COMERCIO,1,"1508,65","3,1786",0,"0,4373","0,4444",1,"52,53",MUY ALTA
102574138,101859090000404604,2025-09-26,2025-11-07,2025-11-10,42,45,-3,"107,14%",6,3,0-7,"0,0004","0,0422",6,"0,1055",COMERCIO,1,"50613,2","4,7043",1,"0,7436","0,4444",1,"62,95",MUY ALTA
104200409,101859090000404693,2025-11-04,2025-11-10,2025-11-10,6,6,0,"100,00%",3,3,0-7,"0,0042","0,0334",6,"0,0814",COMERCIO,1,"117,48","2,0700",0,"0,2147","0,4444",1,"54,97",MUY ALTA
2324783,101859090000382667,2025-09-30,2025-11-25,2025-11-10,56,41,15,"73,21%",-3,12,-7-0,"0,0001","0,0249",7,"0,0582",COMERCIO,1,"12220,72","4,0871",1,"0,6197","0,3333","0,8","57,79",MUY ALTA
2553728,101859090000382686,2025-09-30,2025-11-20,2025-11-10,51,41,10,"80,39%",-2,8,-7-0,"0,0002","0,0244",7,"0,0569",COMERCIO,1,"9461,67","3,9760",1,"0,5974","0,3333","0,8","57,75",MUY ALTA
2654932,101859090000390039,2025-10-31,2025-11-30,2025-11-10,30,10,20,"33,33%",0,20,0,"0,0002","0,0243",8,"0,0566",COMERCIO,1,"49356,29","4,6933",1,"0,7414","0,2222","0,95","57,72",MUY ALTA
2685200,101859090000381352,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",1,21,0-7,"0,0002","0,0156",8,"0,0328",COMERCIO,1,"10543,66","4,0230",1,"0,6068","0,2222",1,"57,69",MUY ALTA
3947343,101859090000402213,2025-10-31,2025-12-01,2025-11-10,31,10,21,"32,26%",-1,20,-7-0,"0,0010","0,0262",7,"0,0618",COMERCIO,1,"46912,49","4,6713",1,"0,7370","0,3333","0,8","57,68",MUY ALTA
4549002,101859090000382217,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",-2,18,-7-0,"0,0004","0,0215",8,"0,0489",OTROS_SERVICIOS,1,"49572,67","4,6952",1,"0,7418","0,2222","0,8","57,68",MUY ALTA
2497623,101859090000380033,2025-09-15,2025-12-01,2025-11-10,77,56,21,"72,73%",0,21,0,"0,0002","0,0281",7,"0,0670",COMERCIO,1,"3472,7","3,5407",1,"0,5100","0,3333","0,95","57,46",MUY ALTA
2440680,101859090000347407,2025-09-30,2025-11-10,2025-11-10,41,41,0,"100,00%",3,3,0-7,"0,0007","0,0195",8,"0,0435",OTRAS_ACTIV_EMPR,1,"3118,94","3,4940",0,"0,5006","0,2222",1,"57,35",MUY ALTA
4587651,101859090000382487,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",0,20,0,"0,0003","0,0248",7,"0,0580",COMERCIO,1,"3895,09","3,5905",1,"0,5200","0,3333","0,95","57,25",MUY ALTA
4368472,101859090000400543,2025-10-31,2025-11-30,2025-11-10,30,10,20,"33,33%",-3,17,-7-0,"0,0002","0,0263",7,"0,0621",COMERCIO,1,"38630,44","4,5869",1,"0,7200","0,3333","0,8","57,21",MUY ALTA
1999959,101859090000395148,2025-10-31,2025-12-10,2025-11-10,40,10,30,"25,00%",2,32,0-7,"0,0002","0,0275",7,"0,0653",COMERCIO,1,"10828,01","4,0345",1,"0,6091","0,3333",1,"57,21",MUY ALTA
2386311,101859090000381317,2025-09-30,2025-11-30,2025-11-10,61,41,20,"67,21%",1,21,0-7,"0,0027","0,1052",3,"0,2775",COMERCIO,4,"132560,32","5,1224",1,"0,8276","0,7778",1,"83,52",MUY ALTA
3040273,101859090000384037,2025-10-09,2025-11-09,2025-11-10,31,32,-1,"103,23%",5,4,0-7,"0,0039","0,0658",4,"0,1699",COMERCIO,2,"607,42","2,7835",0,"0,3580","0,6667",1,"57,17",MUY ALTA
