entityid,codpartidaabierta,fe,fv,plazofactura,vidafactura,daystodue,plazoconsumido,fec,fec_desde_fobs,rango_fec,lgd,pdriim,riim10,pdriim_norm,sector,tiposegmento,importe,log_importe,impacto,importe_norm,riim10_norm,score_fec,score,escala,plazo_consumido_adj
105694648.0,1.0185909000038173e+17,2025-09-30,2025-10-11,41.0,41.0,0.0,1.0,1.0,1.0,0-7,"0,0005","0,0561",5.0,"0,1434",INMOBILIARIAS,1.0,"6038,62","3,7809",1,"0,5582","0,5556",1,"70,31",MUY ALTA,1.0
2130724.0,1.0185909000038125e+17,2025-09-30,2025-10-11,41.0,41.0,0.0,1.0,1.0,1.0,0-7,"0,0007","0,0453",6.0,"0,1139",COMERCIO,1.0,"229,14","2,3601",0,"0,2730","0,4444",1,"56,95",MUY ALTA,1.0
2440680.0,1.0185909000038242e+17,2025-09-30,2025-10-11,41.0,41.0,0.0,1.0,2.0,2.0,0-7,"0,0001","0,0195",8.0,"0,0435",OTRAS_ACTIV_EMPR,1.0,"360568,07","5,5570",1,"0,9148","0,2222",1,"71,44",MUY ALTA,1.0
3947343.0,1.0185909000038464e+17,2025-10-16,2025-01-12,46.0,25.0,21.0,0.5435,-1.0,20.0,-7-0,"0,0009","0,0262",7.0,"0,0618",COMERCIO,1.0,"644391,93","5,8092",1,"0,9654","0,3333","0,8","67,66",MUY ALTA,0.5435
3947343.0,1.0185909000040102e+17,2025-10-31,2025-01-12,31.0,10.0,21.0,0.3226,-1.0,20.0,-7-0,"0,0008","0,0262",7.0,"0,0618",COMERCIO,1.0,"626196,66","5,7967",1,"0,9629","0,3333","0,8","65,37",MUY ALTA,0.3226
1999959.0,1.0185909000038219e+17,2025-09-30,2025-10-11,41.0,41.0,0.0,1.0,3.0,3.0,0-7,"0,0007","0,0275",7.0,"0,0653",COMERCIO,1.0,"9958,95","3,9982",1,"0,6019","0,3333",1,"64,46",MUY ALTA,1.0
5116544.0,1.0185909000038243e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,0.0,20.0,0,"0,0005","0,0205",8.0,"0,0462",COMERCIO,1.0,"117376,66","5,0696",1,"0,8169","0,2222","0,95","63,68",MUY ALTA,0.6720999999999999
2440680.0,1.0185909000038325e+17,2025-09-30,2025-10-11,41.0,41.0,0.0,1.0,3.0,3.0,0-7,"0,0001","0,0195",8.0,"0,0435",OTRAS_ACTIV_EMPR,1.0,"24620,84","4,3913",1,"0,6808","0,2222",1,"63,48",MUY ALTA,1.0
1026646.0,1.0185909000038325e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,-4.0,16.0,-7-0,"0,0004","0,021537153",8.0,"0,0490","Veículos a motor, motociclos e outros veículos e transporte",1.0,"329755,33","5,5182",1,"0,9070","0,2222","0,8","63,29",MUY ALTA,0.6720999999999999
2735461.0,1.0185909000038229e+17,2025-09-30,,56.0,41.0,15.0,0.7321,2.0,17.0,0-7,"0,0010","0,0257",7.0,"0,0604",COMERCIO,1.0,"14294,49","4,1552",1,"0,6334","0,3333",1,"62,86",MUY ALTA,0.7321
4567010.0,1.0185909000040464e+17,2025-10-15,2025-10-11,26.0,26.0,0.0,1.0,6.0,6.0,0-7,"0,0031","0,02",8.0,"0,0449",COMERCIO,1.0,"18953,2","4,2777",1,"0,6580","0,2222",1,"62,70",MUY ALTA,1.0
3308039.0,1.0185909000038275e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,-1.0,19.0,-7-0,"0,0004","0,0165",8.0,"0,0353",COMERCIO,1.0,"239218,22","5,3788",1,"0,8790","0,2222","0,8","62,34",MUY ALTA,0.6720999999999999
4136226.0,1.0185909000040467e+17,2025-10-27,,63.0,14.0,49.0,0.22219999999999998,-3.0,46.0,-7-0,"0,0004","0,0211",8.0,"0,0479",TRANSPORTE,1.0,957978,"5,9814",1,"1,0000","0,2222","0,8","61,96",MUY ALTA,0.22219999999999998
5226310.0,1.0185909000038162e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,1.0,21.0,0-7,"0,0045","0,0273",7.0,"0,0648",COMERCIO,1.0,"12852,04","4,1090",1,"0,6241","0,3333",1,"61,94",MUY ALTA,0.6720999999999999
2299571.0,1.0185909000038205e+17,2025-09-30,,51.0,41.0,10.0,0.8039000000000001,0.0,10.0,0,"0,0001","0,0251",7.0,"0,0588",INDUSTRIA,1.0,"11008,25","4,0417",1,"0,6106","0,3333","0,95","61,65",MUY ALTA,0.8039000000000001
4430621.0,1.0185909000038168e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,0.0,20.0,0,"0,0006","0,0161",8.0,"0,0342",COMERCIO,1.0,"58586,76","4,7678",1,"0,7564","0,2222","0,95","61,62",MUY ALTA,0.6720999999999999
4620668.0,1.0185909000038125e+17,2025-09-30,2025-10-11,41.0,41.0,0.0,1.0,7.0,7.0,0-7,"0,0044","0,0262",7.0,"0,0618",OTRAS_ACTIV_EMPR,1.0,"3604,2","3,5568",1,"0,5132","0,3333",1,"61,45",MUY ALTA,1.0
4587651.0,1.018590900003825e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,0.0,20.0,0,"0,0002","0,0248",7.0,"0,0580",COMERCIO,1.0,"15201,75","4,1819",1,"0,6387","0,3333","0,95","61,29",MUY ALTA,0.6720999999999999
2754590.0,1.0185909000038291e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,2.0,22.0,0-7,"0,0012","0,029",7.0,"0,0694",COMERCIO,1.0,"9692,31","3,9864",1,"0,5995","0,3333",1,"61,10",MUY ALTA,0.6720999999999999
5083350.0,1.0185909000037896e+17,2025-08-31,,86.0,71.0,15.0,0.8256,0.0,15.0,0,"0,0002","0,0237",8.0,"0,0550",INDUSTRIA,1.0,"28233,46","4,4508",1,"0,6927","0,2222","0,95","60,99",MUY ALTA,0.8256
3948613.0,1.018590900003789e+17,2025-08-31,2025-10-11,71.0,71.0,0.0,1.0,1.0,1.0,0-7,"0,0001","0,0184",8.0,"0,0405",COMERCIO,1.0,"10428,39","4,0182",1,"0,6059","0,2222",1,"60,93",MUY ALTA,1.0
3241397.0,1.0185909000037906e+17,2025-08-31,,86.0,71.0,15.0,0.8256,-2.0,13.0,-7-0,"0,0019","0,0221",8.0,"0,0506",INDUSTRIA,1.0,"85814,17","4,9336",1,"0,7896","0,2222","0,8","60,84",MUY ALTA,0.8256
111096563.0,1.0185909000039426e+17,2025-10-31,,30.0,10.0,20.0,0.3333,-3.0,17.0,-7-0,"0,0002","0,0268",7.0,"0,0634",COMERCIO,1.0,"128496,18","5,1089",1,"0,8248","0,3333","0,8","60,78",MUY ALTA,0.3333
2769500.0,1.0185909000038134e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,-2.0,18.0,-7-0,"0,0012","0,0254",7.0,"0,0596",COMERCIO,1.0,"40182,15","4,6040",1,"0,7235","0,3333","0,8","60,72",MUY ALTA,0.6720999999999999
2121980.0,1.0185909000037888e+17,2025-08-31,,86.0,71.0,15.0,0.8256,0.0,15.0,0,"0,0004","0,0267",7.0,"0,0631",TRANSPORTE,1.0,"6637,67","3,8220",1,"0,5665","0,3333","0,95","60,37",MUY ALTA,0.8256
4618626.0,1.0185909000034467e+17,2025-10-15,,46.0,26.0,20.0,0.5652,-3.0,17.0,-7-0,"0,0004","0,0252",7.0,"0,0590",TRANSPORTE,1.0,"50752,79","4,7055",1,"0,7438","0,3333","0,8","60,34",MUY ALTA,0.5652
4762551.0,1.018590900003842e+17,2025-10-13,,31.0,28.0,3.0,0.9031999999999999,2.0,5.0,0-7,"0,0013","0,0256",7.0,"0,0601",COMERCIO,1.0,"3321,14","3,5213",1,"0,5061","0,3333",1,"60,24",MUY ALTA,0.9031999999999999
1677864.0,1.0185909000039526e+17,2025-10-31,,30.0,10.0,20.0,0.3333,-4.0,16.0,-7-0,"0,0004","0,0244",7.0,"0,0569",COMERCIO,1.0,"107115,9","5,0299",1,"0,8090","0,3333","0,8","60,24",MUY ALTA,0.3333
2740538.0,1.0185909000040467e+17,2025-10-27,2025-01-12,35.0,14.0,21.0,0.4,-2.0,19.0,-7-0,"0,0009","0,0268",7.0,"0,0634",COMERCIO,1.0,"80630,88","4,9065",1,"0,7842","0,3333","0,8","60,06",MUY ALTA,0.4
2248458.0,1.0185909000038277e+17,2025-09-30,,56.0,41.0,15.0,0.7321,-3.0,12.0,-7-0,"0,0001","0,028",7.0,"0,0667",TRANSPORTE,1.0,"26183,28","4,4180",1,"0,6861","0,3333","0,8","60,05",MUY ALTA,0.7321
1236990.0,1.0185909000038253e+17,2025-09-30,,91.0,41.0,50.0,0.45049999999999996,-7.0,43.0,-7-0,"0,0077","0,029743295",7.0,"0,0715","Produtos minerais, produtos químicos, petróleo, plásticos, produ",1.0,"66238,91","4,8211",1,"0,7671","0,3333","0,8","59,99",MUY ALTA,0.45049999999999996
2424347.0,1.0185909000037878e+17,2025-08-31,2025-10-12,101.0,71.0,30.0,0.703,-3.0,27.0,-7-0,"0,0065","0,0161",8.0,"0,0342",INDUSTRIA,1.0,"97175,34","4,9876",1,"0,8005","0,2222","0,8","59,98",MUY ALTA,0.703
